"gene","logFC_cellbender","FDR_cellbender","logFC_cellranger","FDR_cellranger","concordant_DE"
"VRK2",0.159165902948763,0.169853807972018,0.0167982455712356,0.913641880151944,FALSE
"PKD1L3",-0.359345819796949,0.169853807972018,-0.322929268039962,0.260978790540971,FALSE
"TRMT11",-0.125304579693496,0.169888328319169,-0.0826035990231757,0.535458872346191,FALSE
"SGO1-AS1",0.270008504809278,0.170052702495026,0.183570903304145,0.569775742492947,FALSE
"AC007780.1",-0.264723113020338,0.170052702495026,-0.26790142580867,0.23159439096062,FALSE
"SESTD1",-0.310242882887807,0.171061027428997,-0.0530031970405283,0.718000345664162,FALSE
"ITPRIPL2",0.197066557092665,0.171346318655964,0.290979999877101,0.052116374880654,FALSE
"WAC-AS1",0.32095527176723,0.171593104377068,0.082189318309808,0.766891824733784,FALSE
"PNKD",0.249495990972517,0.171618504111745,0.235773870384764,0.224051583879383,FALSE
"GNAI1",0.182088244299784,0.171618504111745,0.232103230146901,0.165433492627653,FALSE
"BRCC3",-0.191349980331937,0.17168390636519,-0.150097237727039,0.379689460712675,FALSE
"PIGU",0.211052118929182,0.171901535262623,0.281850018812749,0.107161264637015,FALSE
"PLXNA2",0.421786504648883,0.171974745016059,0.0603995080507868,0.784996888042453,FALSE
"RNF41",-0.271196506207258,0.171974745016059,-0.238806307139184,0.258426218973617,FALSE
"CGAS",0.390655428012417,0.172291097680375,0.414987378089672,0.165087522761758,FALSE
"DCAF12",0.275237411080174,0.172329225701217,0.160949879008464,0.432415726795527,FALSE
"ADD3",0.153925749356696,0.172424767138483,0.115530640196367,0.38604806895449,FALSE
"KLHL22",0.161299015040336,0.172609248074735,0.191711076159832,0.193540725548465,FALSE
"KDM6A",-0.102638877292909,0.172609248074735,-0.167086616876305,0.0205963531781115,FALSE
"TRIO",-0.0786763515787283,0.172744391294931,-0.098721033375605,0.246505604335974,FALSE
"PDAP1",-0.243038431910098,0.172744391294931,-0.0704218842352848,0.734297829295702,FALSE
"CCDC9",-0.291208446428656,0.172744391294931,-0.346735864028232,0.107621769472381,FALSE
"CASK",0.110535221759686,0.173234919108995,0.154460523486778,0.0808421511790363,FALSE
"PSMC4",-0.25355386267375,0.173591643671585,-0.236030594528547,0.283528118600049,FALSE
"POLR3C",-0.213968817192829,0.173618490205406,-0.171687770473818,0.397078285797976,FALSE
"HELQ",-0.1940053344957,0.173683803076856,-0.170994735965768,0.324784566054598,FALSE
"N4BP1",0.15647220385106,0.173834340690227,0.166882932557812,0.171042324456765,FALSE
"RIOK2",0.310154785138794,0.174468358656617,0.300883680950914,0.173107070441917,FALSE
"STON1-GTF2A1L",-0.401023049360671,0.174634566710726,-0.377292474168696,0.243708957177624,FALSE
